Симферополь	45.03712	33.987374
Краснодар(Пашковский)	45.034881	39.139429
Махачкала	42.819274	47.657068
Волгоград(Гумрак)	48.791307	44.346368
Воронеж	51.813805	39.223548
Самара(Курумоч)	53.505136	50.139505
Оренбург	51.790578	55.459502
Уфа	54.566267	55.882453
АППЦНижнийНовгород	56.224279	43.815038
Смоленск	54.821699	32.033078
Пулково	59.801532	30.261402
Архангельск	64.596257	40.712159
Салехард	66.590343	66.588707
ПРЦНарьян-Мар	67.64278	53.12528
ПРЦСыктывкар	61.637975	50.53037
Москва(Внуково)	55.590022	37.274268
Череповец	59.282022	38.023471
Сегежа	63.744109	34.30238
Ухта	63.557351	53.737281
Саратов	51.718256	46.16987
Печора	65.158227	57.235033
Калининград	54.885464	20.592508
Югорск	61.329355	63.604122
Тюмень	57.182007	65.347877
Екатеринбург	56.749765	60.802462
Пермь	57.918142	56.017018
Киров	58.498156	49.347985
Омск	54.957344	73.315571
Колпашево	58.324325	82.927773
Сургут	61.340315	73.41161
Новосибирск	55.008516	82.662899
Диксон	73.515398	80.395135
НовыйУренгой	66.072938	76.521476
Норильск	69.324514	87.342934
Хатанга	71.979975	102.481271
Северо-Енисейский	60.372339	93.015518
Красноярск	56.174342	92.51454
Ленск	60.722436	114.831005
Кызыл	51.676128	94.405001
Иркутск	52.267639	104.373307
Вилюйск	63.754795	121.692112
Удачный	66.400734	112.0379
Саскылах	71.928093	114.083922
Тикси	71.697543	128.889199
Нерюнгри	56.652533	124.704095
Могоча	53.738027	119.768864
Чита	52.020576	113.306447
СоветскаяГавань	49.03303	140.236918
Владивосток	43.394005	132.159638
Благовещенск	50.423914	127.40773
ТоораХем	52.472614	96.118293
Южно-Сахалинск	46.881837	142.722451
Хабаровск	48.524997	135.169684
Оха	53.592213	142.961565
Алдан	58.597905	125.404955
Якутск	62.087965	129.750527
Певек	69.788197	170.603023
Курильск	45.258744	147.953846
Магадан	59.913866	150.722992
Петропавловск-Камчатский	53.167419	158.447677
Анадырь	64.713496	177.738151
Сусуман	62.766163	148.145931
Омсукчан	62.458846	155.739496
Палана	59.083771	159.892777
Усть-Большерецк	52.825369	156.286157
Козыревск	56.050488	159.870597
Жиганск	66.788459	123.362375
Хандыга	62.645893	135.583438
Мирный	62.532943	114.027135
Усть-Илимск	58.134093	102.569017
Борзя	50.394835	116.355264
Улан-Удэ	51.804696	107.444283
Абакан	53.746189	91.401235
Куанда	56.323230	116.075061
Горно-Алтайск	51.97051666	85.841627777
Туруханск	65.796159	87.92656
Тара	56.896187	74.370992
Астрахань	46.28706	48.002857
Зея	53.690508	127.088018
Дальнереченск	45.935445	133.724608
Киренск	57.770099	108.051841
Нижневартовск	60.950238	76.492777
Казань	55.608735	49.298803
МинеральныеВоды	44.218538	43.086879
Адлер	43.449994	39.947818
АэропортПлатов	47.482723	39.911758
ПолиныОсипенко	52.438529	136.475487
Чокурдах	70.622891	147.909255
Черский	68.739537	161.355862
Зырянка	65.743731	150.890426
Батагай	67.649108	134.686574
Усть-Мая	60.364169	134.452392
Северобайкальск	55.64132	109.339333
Багдарин	54.44846	113.583715
Томск	56.387997	85.209619
Челябинск	55.297356	61.519715
Мурманск	68.784731	32.758221
Жуковский	55.573719	38.133604
Охотск	59.40041388	143.0633277
Тиличики	60.383021	166.027093
Марково	64.666667	170.416667
Эвенск	61.920005	159.230031
Никольское	55.177491	166.043534
Беринговский	63.0863333	179.3593333
Лаврентия	65.584949	-171.007832
Шмидта	68.872356	-179.392482
Котельный	75.76667	137.74167
Усть-Камчатский	56.239432	162.525223
Мезень	65.869453	44.213050
Провидения	64.36234166	-173.30755
Врангеля	70.997114	-178.476200
Ташанта	49.7055555	89.30861
